iter	Passed	Remaining
0	51	51824
1	56	28266
2	60	20069
3	64	16058
4	68	13666
5	72	11960
6	76	10784
7	80	9973
8	83	9216
9	86	8588
10	90	8104
11	94	7761
12	99	7518
13	102	7240
14	106	6999
15	110	6776
16	112	6524
17	116	6353
18	120	6207
19	123	6052
20	127	5927
21	130	5812
22	133	5672
23	137	5571
24	140	5481
25	143	5393
26	147	5307
27	150	5232
28	154	5163
29	157	5105
30	161	5042
31	165	4992
32	168	4934
33	172	4909
34	176	4863
35	179	4819
36	183	4768
37	186	4728
38	191	4723
39	194	4678
40	197	4629
41	200	4579
42	204	4547
43	207	4511
44	211	4485
45	215	4465
46	219	4453
47	222	4419
48	226	4388
49	230	4384
50	233	4348
51	236	4317
52	239	4287
53	242	4254
54	245	4224
55	249	4204
56	253	4185
57	257	4174
58	260	4156
59	265	4152
60	268	4133
61	271	4114
62	275	4094
63	278	4078
64	282	4067
65	286	4050
66	290	4051
67	293	4027
68	296	4004
69	299	3983
70	302	3963
71	307	3957
72	311	3961
73	316	3960
74	321	3960
75	325	3960
76	330	3960
77	334	3950
78	338	3941
79	341	3932
80	348	3957
81	356	3992
82	363	4017
83	369	4025
84	372	4010
85	376	4000
86	380	3991
87	383	3979
88	387	3967
89	391	3960
90	395	3947
91	399	3938
92	402	3926
93	406	3914
94	409	3905
95	413	3892
96	416	3879
97	420	3866
98	423	3853
99	426	3839
100	430	3831
101	433	3818
102	437	3806
103	440	3792
104	443	3778
105	447	3776
106	451	3768
107	454	3754
108	457	3739
109	460	3729
110	464	3718
111	467	3708
112	471	3697
113	474	3688
114	476	3668
115	479	3656
116	483	3646
117	487	3643
118	490	3634
119	494	3626
120	497	3615
121	501	3606
122	504	3599
123	508	3590
124	512	3585
125	515	3575
126	519	3567
127	522	3560
128	526	3554
129	529	3545
130	533	3535
131	537	3535
132	541	3527
133	544	3518
134	547	3509
135	551	3502
136	554	3492
137	558	3486
138	561	3476
139	564	3467
140	567	3458
141	570	3449
142	574	3442
143	577	3434
144	581	3426
145	584	3419
146	588	3412
147	591	3403
148	595	3403
149	600	3404
150	604	3396
151	607	3389
152	610	3382
153	614	3375
154	617	3368
155	621	3360
156	624	3354
157	628	3347
158	631	3338
159	634	3331
160	637	3324
161	641	3319
162	645	3313
163	648	3306
164	652	3299
165	655	3291
166	658	3284
167	661	3277
168	664	3269
169	668	3262
170	672	3258
171	674	3248
172	678	3241
173	681	3234
174	684	3227
175	687	3220
176	691	3213
177	694	3208
178	698	3205
179	703	3202
180	705	3194
181	708	3184
182	711	3177
183	715	3171
184	718	3165
185	723	3166
186	726	3158
187	729	3151
188	733	3145
189	737	3143
190	740	3135
191	742	3125
192	745	3115
193	748	3109
194	751	3101
195	755	3097
196	758	3090
197	761	3084
198	764	3078
199	768	3074
200	771	3068
201	774	3059
202	777	3053
203	780	3045
204	783	3038
205	787	3035
206	790	3029
207	793	3023
208	797	3017
209	801	3014
210	804	3008
211	808	3003
212	811	2998
213	815	2994
214	819	2993
215	823	2987
216	826	2982
217	829	2977
218	834	2976
219	838	2972
220	841	2967
221	846	2965
222	850	2965
223	854	2959
